family	execution_arch	source	catalogue_generation	catalogue_label	canonical_id	current_display	weight_file	presentation_flags	waiver_reasons	review_status
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Crowd by Aufr33 & Viperx	mdx:mel_band_roformer_crowd_aufr33_viperx_sdr_8.7144	MelBand Roformer — Crowd · Aufr33 & ViperX	mel_band_roformer_crowd_aufr33_viperx_sdr_8.7144.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Denoise Aggr by Aufr33	mdx:denoise_mel_band_roformer_aufr33_aggr_sdr_27.9768	MelBand Roformer — DeNoise Aggr · Aufr33	denoise_mel_band_roformer_aufr33_aggr_sdr_27.9768.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Denoise by Aufr33	mdx:denoise_mel_band_roformer_aufr33_sdr_27.9959	MelBand Roformer — DeNoise · Aufr33	denoise_mel_band_roformer_aufr33_sdr_27.9959.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | DeReverb Big by Sucial	mdx:dereverb_big_mbr_ep_362	MelBand Roformer — DeReverb Big · Sucial	dereverb_big_mbr_ep_362.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | DeReverb Less Aggressive by anvuew	mdx:dereverb_mel_band_roformer_less_aggressive_anvuew_sdr_18.8050	MelBand Roformer — DeReverb Less Aggressive · Anvuew	dereverb_mel_band_roformer_less_aggressive_anvuew_sdr_18.8050.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | DeReverb Mono by anvuew	mdx:dereverb_mel_band_roformer_mono_anvuew_sdr_20.4029	MelBand Roformer — DeReverb Mono · Anvuew	dereverb_mel_band_roformer_mono_anvuew_sdr_20.4029.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | DeReverb Super Big by Sucial	mdx:dereverb_super_big_mbr_ep_346	MelBand Roformer — DeReverb Super Big · Sucial	dereverb_super_big_mbr_ep_346.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | DeReverb by anvuew	mdx:dereverb_mel_band_roformer_anvuew_sdr_19.1729	MelBand Roformer — DeReverb · Anvuew	dereverb_mel_band_roformer_anvuew_sdr_19.1729.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | DeReverb-Echo Fused by Sucial	mdx:dereverb_echo_mbr_fused	MelBand Roformer — DeReverb-Echo Fused · Sucial	dereverb_echo_mbr_fused.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | DeReverb-Echo v2 by Sucial	mdx:dereverb-echo_mel_band_roformer_sdr_13.4843_v2	MelBand Roformer — DeReverb-Echo v2 · Sucial	dereverb-echo_mel_band_roformer_sdr_13.4843_v2.ckpt			clean
